"ID","isActive","gameID","state","shortDescription","dateCreated","dateModified","createdBy","modifiedBy"
"102","1","1","FL","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"103","1","1","GA","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"104","1","1","IA","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"105","1","1","ID","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"106","1","1","IL","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"107","1","1","IN","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"108","1","1","KS","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"109","1","1","KY","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"110","1","1","LA","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"111","1","1","MA","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"112","1","1","MD","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"113","1","1","ME","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"114","1","1","MI","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"115","1","1","MN","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"116","1","1","MO","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"117","1","1","MS","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"118","1","1","MT","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"119","1","1","NC","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"120","1","1","ND","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"121","1","1","NE","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"122","1","1","NH","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"123","1","1","NJ","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"124","1","1","NM","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"125","1","1","NY","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"126","1","1","OH","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"127","1","1","OK","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"128","1","1","OR","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"129","1","1","PA","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"130","1","1","PR","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"131","1","1","RI","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"132","1","1","SC","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"133","1","1","SD","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"134","1","1","TN","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"135","1","1","TX","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"136","1","1","VA","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"137","1","1","VI","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"138","1","1","VT","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"139","1","1","WA","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"140","1","1","WI","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"141","1","1","WV","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"142","1","1","WY","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"143","1","2","AR","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"144","1","2","AZ","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"145","1","2","CA","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"146","1","2","CO","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"147","1","2","CT","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"148","1","2","DC","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"149","1","2","DE","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"150","1","2","FL","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"151","1","2","GA","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"152","1","2","IA","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"153","1","2","ID","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"154","1","2","IL","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"155","1","2","IN","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"156","1","2","KS","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"157","1","2","KY","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"158","1","2","LA","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"159","1","2","MA","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"160","1","2","MD","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"161","1","2","ME","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"162","1","2","MI","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"163","1","2","MN","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"164","1","2","MO","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"165","1","2","MS","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"166","1","2","MT","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"167","1","2","NC","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"168","1","2","ND","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"169","1","2","NE","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"170","1","2","NH","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"171","1","2","NJ","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"172","1","2","NM","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"173","1","2","NY","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"174","1","2","OH","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"175","1","2","OK","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"176","1","2","OR","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"177","1","2","PA","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"178","1","2","RI","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"179","1","2","SC","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"180","1","2","SD","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"181","1","2","TN","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"182","1","2","TX","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"183","1","2","VA","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"184","1","2","VI","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"185","1","2","VT","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"186","1","2","WA","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"187","1","2","WI","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"188","1","2","WV","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"189","1","2","WY","Mega Millions","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
